epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3327,1.21231,3.24373,1.46435,0.33424,0.38974,0.35656,0.22889,1.2638,2.30291,1.61167,0.000166302,0.000166302,0.000166302
2,111.031,1.25766,2.22098,1.44961,0.53131,0.41085,0.47173,0.29521,1.32809,2.09339,1.67993,0.000329672,0.000329672,0.000329672
3,163.457,1.29926,2.06549,1.47577,0.51609,0.4065,0.47702,0.29702,1.29591,1.97019,1.58181,0.000489743,0.000489743,0.000489743
4,216.23,1.27583,1.9431,1.45434,0.62139,0.44382,0.52576,0.35911,1.27241,1.84318,1.60535,0.00048515,0.00048515,0.00048515
5,268.051,1.24007,1.83669,1.42956,0.54925,0.53138,0.54913,0.3568,1.33497,1.7817,1.59809,0.0004802,0.0004802,0.0004802
6,319.84,1.22998,1.73661,1.41497,0.66267,0.55393,0.61519,0.41113,1.238,1.56691,1.52446,0.00047525,0.00047525,0.00047525
7,371.607,1.19285,1.6751,1.3919,0.67044,0.52814,0.6152,0.42691,1.17375,1.5755,1.48231,0.0004703,0.0004703,0.0004703
8,423.24,1.17292,1.60553,1.36966,0.6536,0.61843,0.66194,0.43648,1.21519,1.46768,1.50869,0.00046535,0.00046535,0.00046535
9,475.285,1.16703,1.58911,1.3716,0.7446,0.56372,0.66085,0.44064,1.18807,1.41316,1.46883,0.0004604,0.0004604,0.0004604
10,527.129,1.14959,1.52232,1.35495,0.70134,0.63899,0.71419,0.48252,1.19251,1.37343,1.46335,0.00045545,0.00045545,0.00045545
11,578.991,1.11523,1.44748,1.33512,0.67436,0.64737,0.70047,0.47502,1.14407,1.33527,1.4429,0.0004505,0.0004505,0.0004505
12,630.746,1.1085,1.40892,1.32824,0.80491,0.6223,0.72967,0.50909,1.12709,1.25354,1.42719,0.00044555,0.00044555,0.00044555
13,682.406,1.09042,1.38276,1.32027,0.71157,0.68801,0.73523,0.51648,1.08916,1.21739,1.41033,0.0004406,0.0004406,0.0004406
14,734.01,1.07726,1.34966,1.30037,0.75979,0.66329,0.74114,0.52758,1.09365,1.23283,1.39325,0.00043565,0.00043565,0.00043565
15,785.794,1.06582,1.31293,1.29622,0.74489,0.7199,0.77526,0.54626,1.06298,1.17741,1.37011,0.0004307,0.0004307,0.0004307
16,837.455,1.06359,1.32054,1.30027,0.71699,0.71247,0.75874,0.53392,1.08001,1.17763,1.37087,0.00042575,0.00042575,0.00042575
17,889.207,1.0374,1.27863,1.29154,0.76771,0.69973,0.77387,0.5533,1.09084,1.157,1.40473,0.0004208,0.0004208,0.0004208
18,940.618,1.03899,1.26444,1.28584,0.83099,0.6543,0.76507,0.55242,1.0448,1.16183,1.36679,0.00041585,0.00041585,0.00041585
19,992.424,1.02366,1.23551,1.27546,0.77543,0.70513,0.78153,0.55074,1.05935,1.14174,1.36791,0.0004109,0.0004109,0.0004109
20,1044.15,1.01703,1.22395,1.27126,0.86935,0.64303,0.77796,0.55383,1.02544,1.13426,1.33761,0.00040595,0.00040595,0.00040595
21,1095.8,1.0177,1.19956,1.27005,0.8067,0.67353,0.76695,0.55882,1.03011,1.11921,1.31819,0.000401,0.000401,0.000401
22,1147.55,1.00308,1.17859,1.25738,0.80327,0.69635,0.7905,0.56467,1.04036,1.09214,1.35128,0.00039605,0.00039605,0.00039605
23,1199.38,0.99037,1.14643,1.24522,0.84095,0.68216,0.79827,0.58535,1.0078,1.06187,1.32384,0.0003911,0.0003911,0.0003911
24,1250.76,0.97451,1.12624,1.23184,0.83796,0.68542,0.79133,0.57233,1.02482,1.08153,1.33401,0.00038615,0.00038615,0.00038615
25,1302.43,0.98283,1.13263,1.24514,0.80817,0.68105,0.79413,0.58118,1.02054,1.06552,1.32259,0.0003812,0.0003812,0.0003812
26,1354.02,0.96209,1.12292,1.23557,0.86189,0.71004,0.81371,0.59596,0.99753,1.02383,1.32029,0.00037625,0.00037625,0.00037625
27,1405.82,0.96987,1.10053,1.2333,0.82069,0.70819,0.81163,0.59898,0.99721,1.01373,1.32147,0.0003713,0.0003713,0.0003713
28,1457.43,0.95675,1.10311,1.23267,0.83529,0.723,0.81654,0.60253,0.98896,0.99767,1.30367,0.00036635,0.00036635,0.00036635
29,1509.21,0.94089,1.10556,1.22246,0.83346,0.71881,0.80905,0.60011,0.98514,1.03394,1.29062,0.0003614,0.0003614,0.0003614
30,1560.88,0.94977,1.08476,1.22143,0.88906,0.6667,0.79788,0.59484,0.97467,1.02391,1.30021,0.00035645,0.00035645,0.00035645
31,1612.77,0.94,1.03791,1.21256,0.82177,0.73133,0.81758,0.60753,0.9815,1.02443,1.2961,0.0003515,0.0003515,0.0003515
32,1664,0.9255,1.05979,1.20566,0.82036,0.70692,0.81593,0.60707,0.94583,0.99504,1.26137,0.00034655,0.00034655,0.00034655
33,1713.98,0.9326,1.06154,1.21905,0.82777,0.73627,0.81135,0.60645,0.964,1.00051,1.28134,0.0003416,0.0003416,0.0003416
34,1765.56,0.91367,1.03644,1.2044,0.87365,0.71493,0.81751,0.60517,0.99631,1.01024,1.30823,0.00033665,0.00033665,0.00033665
35,1817.07,0.91659,1.04059,1.19696,0.79291,0.76352,0.82416,0.62355,0.95536,0.96243,1.25548,0.0003317,0.0003317,0.0003317
36,1868.8,0.91085,1.00935,1.20189,0.8508,0.74111,0.83141,0.61157,0.95709,0.96166,1.27167,0.00032675,0.00032675,0.00032675
