epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2687,1.18715,3.19554,1.42829,0.45776,0.49248,0.51511,0.35341,1.15491,2.00428,1.418,0.000166008,0.000166008,0.000166008
2,62.0673,1.17674,1.89627,1.3469,0.60547,0.5996,0.65116,0.44532,1.13811,1.41726,1.37212,0.000329381,0.000329381,0.000329381
3,91.3072,1.18644,1.63331,1.35647,0.63504,0.62701,0.67061,0.43548,1.18688,1.48292,1.36854,0.000489454,0.000489454,0.000489454
4,120.344,1.19747,1.50595,1.34463,0.66245,0.65249,0.69192,0.45267,1.18554,1.38562,1.35697,0.00048515,0.00048515,0.00048515
5,149.581,1.17082,1.40983,1.32912,0.77606,0.66063,0.76361,0.52772,1.06919,1.16762,1.30572,0.0004802,0.0004802,0.0004802
6,178.636,1.14697,1.32214,1.31394,0.79488,0.69182,0.7814,0.53285,1.11645,1.10324,1.33268,0.00047525,0.00047525,0.00047525
7,207.709,1.12081,1.23541,1.28982,0.76128,0.7681,0.8384,0.58783,1.07171,0.99134,1.27487,0.0004703,0.0004703,0.0004703
8,236.951,1.1049,1.18454,1.29378,0.78255,0.76525,0.82607,0.5924,1.00515,0.9983,1.22678,0.00046535,0.00046535,0.00046535
9,265.85,1.06935,1.11505,1.26776,0.74163,0.85261,0.86459,0.62816,0.98676,0.9019,1.19085,0.0004604,0.0004604,0.0004604
10,295.072,1.05428,1.07191,1.25397,0.83506,0.80946,0.88056,0.62367,1.00965,0.86898,1.2237,0.00045545,0.00045545,0.00045545
11,323.847,1.05154,1.03387,1.25469,0.89817,0.82989,0.90327,0.64806,1.01546,0.79286,1.20784,0.0004505,0.0004505,0.0004505
12,353.107,1.03562,1.00332,1.23701,0.84574,0.81867,0.88404,0.63749,1.01612,0.81306,1.23369,0.00044555,0.00044555,0.00044555
13,382.059,1.04,0.99405,1.23819,0.88093,0.81838,0.90056,0.65899,0.98967,0.72154,1.21683,0.0004406,0.0004406,0.0004406
14,411.068,1.02529,0.98559,1.24581,0.87921,0.83335,0.90375,0.66928,0.94498,0.72058,1.16874,0.00043565,0.00043565,0.00043565
15,439.984,0.99141,0.94383,1.21699,0.8589,0.89084,0.91694,0.68408,0.953,0.70941,1.1729,0.0004307,0.0004307,0.0004307
16,469.02,0.99559,0.92042,1.22819,0.88532,0.86474,0.91623,0.66382,0.94996,0.72437,1.17074,0.00042575,0.00042575,0.00042575
17,497.777,1.0033,0.92146,1.22172,0.85467,0.86964,0.91867,0.68549,0.94232,0.73284,1.13735,0.0004208,0.0004208,0.0004208
18,526.853,0.99575,0.88433,1.21521,0.93924,0.87769,0.93867,0.69894,0.94434,0.65155,1.15854,0.00041585,0.00041585,0.00041585
19,555.852,0.97853,0.86205,1.21331,0.8797,0.89786,0.92489,0.68693,0.92103,0.66607,1.15468,0.0004109,0.0004109,0.0004109
20,584.491,0.95095,0.84662,1.1946,0.87734,0.86963,0.90911,0.69246,0.92845,0.66913,1.16106,0.00040595,0.00040595,0.00040595
21,613.452,0.95259,0.82389,1.17586,0.90051,0.8947,0.93567,0.70287,0.91304,0.63327,1.14209,0.000401,0.000401,0.000401
22,642.087,0.94431,0.84297,1.17889,0.91185,0.89401,0.93965,0.69868,0.92835,0.61861,1.14888,0.00039605,0.00039605,0.00039605
23,670.108,0.93155,0.80696,1.18343,0.90686,0.89963,0.92599,0.70377,0.8981,0.61699,1.12604,0.0003911,0.0003911,0.0003911
24,698.984,0.92283,0.79771,1.16329,0.92806,0.8946,0.9387,0.70548,0.88995,0.60425,1.11717,0.00038615,0.00038615,0.00038615
25,727.988,0.93146,0.78398,1.17845,0.91849,0.86607,0.93423,0.71719,0.87432,0.6172,1.11139,0.0003812,0.0003812,0.0003812
26,757.084,0.91706,0.76283,1.16577,0.9078,0.88266,0.94094,0.71077,0.93346,0.61437,1.14318,0.00037625,0.00037625,0.00037625
