epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1155,3.60202,5.16626,4.13065,0.37752,0.00586,0.00106,0.00022,3.30199,4.60281,4.13977,0.0701639,0.00331512,0.00331512
2,34.757,3.49839,4.81356,3.79234,0.26257,0.116,0.01047,0.00258,2.96816,17.1492,3.74517,0.0400323,0.00651681,0.00651681
3,51.2206,3.04951,4.32881,3.28714,0.1186,0.1531,0.06263,0.02327,2.52832,11.3409,3.06304,0.00976866,0.00958651,0.00958651
4,67.6591,2.68942,3.93433,2.90934,0.16526,0.24273,0.11066,0.04003,2.21139,3.14562,2.64695,0.009406,0.009406,0.009406
5,84.2822,2.37436,3.59044,2.61359,0.20225,0.30946,0.16507,0.07212,2.0077,2.93195,2.43367,0.009208,0.009208,0.009208
6,100.909,2.16328,3.32973,2.43674,0.20894,0.352,0.2208,0.1051,1.8488,2.69081,2.2553,0.00901,0.00901,0.00901
7,118.086,2.00945,3.16725,2.29029,0.32172,0.32941,0.26749,0.13848,1.70993,2.33162,2.15423,0.008812,0.008812,0.008812
8,135.265,1.9058,2.99376,2.19483,0.33394,0.43453,0.34529,0.18291,1.67134,2.31576,2.0709,0.008614,0.008614,0.008614
9,152.69,1.81291,2.90505,2.0908,0.32667,0.35559,0.33988,0.18185,1.62788,2.24519,2.0018,0.008416,0.008416,0.008416
10,170.423,1.77344,2.84195,2.03892,0.37749,0.49681,0.43845,0.25354,1.48961,1.95568,1.90538,0.008218,0.008218,0.008218
11,188.385,1.72758,2.74195,1.9972,0.44009,0.45183,0.4401,0.25992,1.4984,1.83462,1.86827,0.00802,0.00802,0.00802
12,206.809,1.68263,2.70004,1.95449,0.4503,0.49699,0.47119,0.27616,1.46901,1.83681,1.85276,0.007822,0.007822,0.007822
13,225.356,1.64464,2.56789,1.90658,0.53204,0.47925,0.5232,0.30993,1.41866,1.72365,1.81441,0.007624,0.007624,0.007624
14,244.427,1.60634,2.53387,1.87004,0.53898,0.48876,0.50975,0.3173,1.36825,1.76354,1.73661,0.007426,0.007426,0.007426
15,263.385,1.60715,2.52607,1.87685,0.49079,0.60373,0.53358,0.33628,1.35907,1.68213,1.73971,0.007228,0.007228,0.007228
16,283.024,1.56672,2.45476,1.82211,0.41757,0.60862,0.55516,0.35153,1.33378,1.72844,1.69376,0.00703,0.00703,0.00703
17,303.191,1.54718,2.39898,1.79325,0.49845,0.66081,0.57707,0.365,1.33038,1.73967,1.67582,0.006832,0.006832,0.006832
18,323.012,1.54609,2.37561,1.79851,0.48283,0.62665,0.58654,0.3634,1.32521,1.71983,1.67459,0.006634,0.006634,0.006634
19,342.841,1.4918,2.27849,1.76267,0.55182,0.59739,0.61336,0.39601,1.28153,1.4569,1.65083,0.006436,0.006436,0.006436
20,363.144,1.4808,2.25018,1.75742,0.63765,0.59293,0.64178,0.41254,1.31923,1.40268,1.68177,0.006238,0.006238,0.006238
21,383.751,1.4681,2.20041,1.7294,0.64993,0.63858,0.68897,0.44068,1.27631,1.37157,1.65242,0.00604,0.00604,0.00604
22,403.335,1.45101,2.16855,1.71487,0.57806,0.63729,0.63821,0.4139,1.25353,1.46475,1.59719,0.005842,0.005842,0.005842
23,422.64,1.45065,2.16266,1.71235,0.62862,0.67443,0.67917,0.45438,1.22562,1.34278,1.60091,0.005644,0.005644,0.005644
24,441.594,1.43148,2.1445,1.69287,0.61762,0.6154,0.66273,0.44557,1.2068,1.35703,1.55917,0.005446,0.005446,0.005446
25,461.141,1.44069,2.09464,1.69263,0.63134,0.7143,0.71295,0.47456,1.21873,1.28464,1.59395,0.005248,0.005248,0.005248
26,480.849,1.41661,2.06525,1.68926,0.645,0.72427,0.7194,0.48038,1.18705,1.2852,1.55233,0.00505,0.00505,0.00505
27,501.204,1.37566,2.0361,1.64422,0.6598,0.70964,0.72116,0.48903,1.1686,1.24167,1.54174,0.004852,0.004852,0.004852
28,521.74,1.38562,1.9947,1.64183,0.60356,0.75828,0.71921,0.4873,1.17941,1.28453,1.54405,0.004654,0.004654,0.004654
