epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.587,3.64607,5.17931,3.98069,0.00027,0.01773,0.00015,2e-05,3.22768,4.52696,3.90442,0.0700588,0.0033268,0.0033268
2,92.5621,3.29825,4.82827,3.42376,0.46787,0.02653,0.02202,0.00644,2.75176,3.78008,3.19183,0.039927,0.00652826,0.00652826
3,136.431,2.757,4.35652,2.91634,0.29738,0.14648,0.0907,0.03746,2.2234,3.18158,2.6595,0.00966308,0.00959772,0.00959772
4,180.39,2.38189,3.99271,2.59184,0.21122,0.26613,0.17444,0.07947,2.07664,3.39822,2.47129,0.009406,0.009406,0.009406
5,224.817,2.13925,3.68804,2.34401,0.2427,0.29793,0.2123,0.10652,1.79776,2.61828,2.1929,0.009208,0.009208,0.009208
6,269.613,2.02436,3.52635,2.22983,0.36775,0.34988,0.28642,0.14539,1.70232,2.3712,2.02015,0.00901,0.00901,0.00901
7,312.546,1.94364,3.3971,2.14362,0.30603,0.41101,0.30217,0.1639,1.61612,2.3176,1.98232,0.008812,0.008812,0.008812
8,356.801,1.87541,3.27785,2.06905,0.31193,0.43442,0.35931,0.19692,1.51363,2.1507,1.91285,0.008614,0.008614,0.008614
9,400.997,1.80858,3.16373,1.9873,0.35237,0.44794,0.36991,0.21038,1.53134,2.07728,1.92261,0.008416,0.008416,0.008416
10,442.748,1.76471,3.1018,1.95392,0.38988,0.48486,0.40938,0.24042,1.49844,2.21276,1.85428,0.008218,0.008218,0.008218
11,485.255,1.71272,3.00515,1.90664,0.35997,0.48886,0.42648,0.24982,1.4459,1.9366,1.83367,0.00802,0.00802,0.00802
12,527.883,1.70618,2.99031,1.90452,0.41369,0.5165,0.41914,0.23284,1.4909,2.49879,1.85402,0.007822,0.007822,0.007822
13,573.151,1.70333,2.92197,1.89468,0.44596,0.52392,0.51895,0.31626,1.39281,1.81818,1.76759,0.007624,0.007624,0.007624
14,616.176,1.6464,2.84216,1.86137,0.45824,0.58241,0.52428,0.31841,1.39073,1.84058,1.77739,0.007426,0.007426,0.007426
15,660.462,1.63717,2.82217,1.84708,0.51604,0.60381,0.54928,0.34286,1.33008,1.67168,1.72438,0.007228,0.007228,0.007228
16,705.799,1.60302,2.74525,1.81097,0.49383,0.56398,0.53429,0.33071,1.33329,1.78662,1.72046,0.00703,0.00703,0.00703
17,751.933,1.61519,2.72859,1.82101,0.5157,0.57896,0.57519,0.35549,1.30719,1.63061,1.68281,0.006832,0.006832,0.006832
18,797.739,1.57345,2.66413,1.80135,0.58254,0.58831,0.61007,0.39821,1.27901,1.65487,1.67844,0.006634,0.006634,0.006634
19,842.985,1.58655,2.66877,1.7942,0.57981,0.62888,0.61836,0.38842,1.28664,1.5295,1.68597,0.006436,0.006436,0.006436
20,887.866,1.55881,2.62743,1.77009,0.55003,0.65374,0.60653,0.38401,1.28578,1.68661,1.65418,0.006238,0.006238,0.006238
21,933.103,1.54258,2.57119,1.75246,0.54857,0.62976,0.62158,0.39798,1.28235,1.54567,1.65489,0.00604,0.00604,0.00604
22,977.1,1.53181,2.52808,1.75153,0.60454,0.66941,0.66374,0.43588,1.24656,1.49049,1.62933,0.005842,0.005842,0.005842
23,1021.42,1.51955,2.50849,1.72737,0.62137,0.61946,0.64833,0.42238,1.2322,1.43303,1.61732,0.005644,0.005644,0.005644
24,1063.5,1.53188,2.51039,1.73059,0.6441,0.67669,0.71303,0.4697,1.22391,1.37206,1.59229,0.005446,0.005446,0.005446
25,1107.69,1.49181,2.4638,1.71049,0.60331,0.72214,0.70602,0.47142,1.19462,1.44273,1.57769,0.005248,0.005248,0.005248
26,1152.48,1.49782,2.45919,1.70603,0.64412,0.6699,0.6859,0.44286,1.2237,1.40261,1.5945,0.00505,0.00505,0.00505
27,1196.38,1.47205,2.41444,1.68836,0.62596,0.73327,0.70905,0.46684,1.20386,1.4353,1.58823,0.004852,0.004852,0.004852
28,1239.96,1.46303,2.36268,1.68391,0.6733,0.68508,0.7245,0.49507,1.16739,1.34041,1.55769,0.004654,0.004654,0.004654
29,1282.05,1.45119,2.35402,1.66848,0.66985,0.70924,0.73443,0.49156,1.18486,1.28618,1.55735,0.004456,0.004456,0.004456
30,1325.42,1.45041,2.31858,1.67182,0.67105,0.73662,0.73787,0.50127,1.18523,1.27944,1.55322,0.004258,0.004258,0.004258
31,1370.89,1.4326,2.28426,1.65938,0.68841,0.7381,0.76895,0.52435,1.1505,1.25541,1.5224,0.00406,0.00406,0.00406
32,1416.54,1.43626,2.28271,1.65275,0.72906,0.76206,0.78458,0.53621,1.14423,1.22691,1.52493,0.003862,0.003862,0.003862
33,1461.62,1.41373,2.25979,1.64431,0.64934,0.75694,0.7534,0.52272,1.15545,1.26933,1.52253,0.003664,0.003664,0.003664
34,1505.23,1.40887,2.25185,1.63489,0.71231,0.73143,0.76282,0.52277,1.16744,1.17516,1.53864,0.003466,0.003466,0.003466
35,1548.71,1.38699,2.2066,1.62036,0.72502,0.75975,0.78249,0.55519,1.09809,1.18389,1.49747,0.003268,0.003268,0.003268
36,1592.17,1.39034,2.19937,1.61899,0.79159,0.78175,0.83092,0.58568,1.09226,1.10019,1.48953,0.00307,0.00307,0.00307
37,1636.77,1.36998,2.15964,1.61013,0.72173,0.78796,0.79232,0.55677,1.09436,1.15604,1.4867,0.002872,0.002872,0.002872
38,1680.3,1.38558,2.17779,1.62862,0.72905,0.78846,0.80572,0.56717,1.09861,1.1002,1.4984,0.002674,0.002674,0.002674
39,1724.9,1.35911,2.1107,1.59743,0.77719,0.80471,0.81787,0.57573,1.11172,1.05804,1.50002,0.002476,0.002476,0.002476
40,1769.21,1.36081,2.13579,1.59173,0.71517,0.78717,0.79161,0.56554,1.08806,1.20402,1.47516,0.002278,0.002278,0.002278
41,1815.6,1.29243,1.91944,1.57149,0.8024,0.75203,0.82599,0.58048,1.08391,1.08509,1.4778,0.00208,0.00208,0.00208
42,1859.41,1.27523,1.85058,1.55448,0.81102,0.79653,0.84446,0.60471,1.06165,1.01993,1.45299,0.001882,0.001882,0.001882
43,1904.86,1.24952,1.79931,1.53604,0.79719,0.8195,0.8547,0.59518,1.08144,1.02329,1.4754,0.001684,0.001684,0.001684
44,1947.25,1.24339,1.78671,1.54547,0.81835,0.81389,0.85998,0.60919,1.07147,0.98874,1.46766,0.001486,0.001486,0.001486
45,1992.14,1.23336,1.75556,1.52492,0.8288,0.78738,0.86131,0.60813,1.06981,0.98658,1.47246,0.001288,0.001288,0.001288
46,2035.68,1.22374,1.73717,1.52012,0.80666,0.82637,0.86229,0.62285,1.04515,0.97447,1.43984,0.00109,0.00109,0.00109
47,2079.06,1.20386,1.70647,1.50246,0.83255,0.80997,0.86596,0.62019,1.03181,0.96095,1.43525,0.000892,0.000892,0.000892
48,2122.99,1.19821,1.69107,1.4956,0.82906,0.82546,0.86306,0.62237,1.04748,0.94203,1.44114,0.000694,0.000694,0.000694
49,2165.49,1.19281,1.68166,1.48671,0.84344,0.79613,0.86639,0.62694,1.04467,0.9444,1.43699,0.000496,0.000496,0.000496
50,2209.74,1.18456,1.66815,1.48943,0.83656,0.81973,0.86993,0.63319,1.0291,0.93391,1.429,0.000298,0.000298,0.000298
